lecture_id,classroom_id,day,starttime,endtime
10289,1023037,4,1300,1400
10291,1023038,1,1200,1300
10291,1023038,4,1400,1600
10292,1023038,2,1600,1800
10292,1023038,4,1200,1300
10293,1023038,1,1300,1400
10293,1023038,3,1000,1200
10294,1023037,2,1400,1600
10294,1023037,4,900,1000
10295,1023038,2,900,1000
10295,1023010,3,1000,1200
10296,1023038,2,1000,1200
10296,1023010,3,900,1000
10297,1023013,2,1400,1500
10297,1023013,4,1000,1200
10298,1012011,1,1330,1500
10298,1012011,3,900,1030
10299,1012020,1,900,1030
10299,1012020,4,1500,1630
10300,1012012,2,900,1030
10300,1012012,5,1500,1630
10301,1012012,3,1500,1630
10301,1012012,5,900,1030
10302,1012012,3,1630,1800
10302,1012012,5,1030,1200
10303,1012012,3,1330,1500
10303,1012012,5,1200,1330
10304,1023013,2,1500,1600
10304,1023013,3,1000,1200
10305,1023034,2,1300,1500
10305,1023034,4,1100,1200
10306,1023034,2,1100,1200
10306,1023034,3,1300,1500
10307,1023013,1,1000,1200
10307,1023013,3,1500,1600
10308,1023013,1,1400,1700
10310,1023008,2,1000,1200
10310,1023008,3,1300,1400
10311,1023008,1,1400,1600
10311,1023008,2,1400,1500
10312,1023008,1,1000,1200
10312,1023008,2,1300,1400
10313,1023014,3,1000,1200
10313,1023014,4,1400,1500
10314,1023014,1,1300,1400
10314,1023014,4,1000,1200
10315,1023008,2,1500,1600
10315,1023008,3,1400,1600
10317,1023014,1,1000,1200
10317,1023014,2,1000,1100
10318,1023034,3,1500,1600
10318,1023034,4,1300,1500
10319,1023008,1,1300,1400
10319,1023008,3,1000,1200
10320,1023014,3,1400,1500
10320,1023008,4,1000,1200
10321,1023014,1,1400,1600
10321,1023014,2,1100,1200
10322,1023014,2,1400,1700
10324,1023008,4,1500,1700
10325,1023008,4,1300,1500
10326,1012028,3,1500,1630
10326,1012028,5,900,1030
10327,1012028,1,1330,1500
10327,1012028,3,900,1030
10328,1012028,1,1030,1200
10328,1012028,4,1330,1500
10329,1012028,1,1200,1330
10329,1012028,3,1030,1200
10330,1012028,1,1500,1630
10330,1012028,4,1630,1800
10331,1012028,1,900,1030
10331,1012028,4,1500,1630
10332,1012028,2,1630,1800
10332,1012028,4,1200,1330
10333,1012028,2,1500,1630
10333,1012028,4,900,1030
10334,1012028,2,1030,1200
10334,1012028,5,1330,1500
10335,1012028,2,1330,1500
10335,1012028,4,1030,1200
10336,1012028,2,1200,1330
10336,1012028,5,1630,1800
10337,1012011,1,1030,1200
10337,1012011,4,1330,1500
10338,1012011,1,1200,1330
10338,1012011,3,1030,1200
10339,1012026,1,1630,1800
10339,1012026,3,1200,1330
10340,1012026,1,1330,1500
10340,1012026,3,900,1030
10341,1012026,1,1030,1200
10341,1012026,4,1330,1500
